1: Muse,Radiohead
2: Muse,The Beatles
3: Muse,Coldplay
4: Muse,Nirvana
5: Muse,Arctic Monkeys
6: Muse,Lady Gaga
7: Muse,Paramore
8: Muse,The Killers
9: Muse,Pink Floyd
10: Muse,Metallica
11: Muse,Oasis
12: Muse,Placebo
13: Muse,Red Hot Chili Peppers
14: Muse,Foo Fighters
15: Muse,The Cure
16: Muse,Led Zeppelin
17: Muse,30 Seconds to Mars
18: Muse,System of a Down
19: Muse,Kings of Leon
20: Muse,Linkin Park
21: Muse,Green Day
22: Muse,MGMT
23: Muse,Death Cab for Cutie
24: Muse,Incubus
25: Muse,The Strokes
26: Muse,The Smiths
27: Muse,The Rolling Stones
28: Muse,The Kooks
29: Muse,Pearl Jam
30: Muse,Gorillaz
31: Muse,Tool
32: Muse,Queen
33: Muse,The Smashing Pumpkins
34: Muse,Yeah Yeah Yeahs
35: Muse,Lily Allen
36: Muse,David Bowie
37: Muse,Marilyn Manson
38: Muse,Vampire Weekend
39: Muse,Rammstein
40: Muse,Franz Ferdinand
41: Muse,U2
42: Muse,blink-182
43: Muse,Evanescence
44: Muse,The Doors
45: Muse,Eminem
46: Muse,The White Stripes
47: Muse,Bob Dylan
48: Muse,AC/DC
49: Muse,Björk
50: Muse,Rihanna
51: Muse,Iron Maiden
52: Muse,Daft Punk
53: Muse,Nine Inch Nails
54: Muse,Fall Out Boy
55: Muse,Depeche Mode
56: Muse,Guns N' Roses
57: Muse,Sigur Rós
58: Muse,Joy Division
59: Muse,Britney Spears
60: Muse,My Chemical Romance
61: Muse,Slipknot
62: Muse,Three Days Grace
63: Muse,Florence + the Machine
64: Muse,Bullet for My Valentine
65: Muse,The Clash
66: Muse,The Offspring
67: Muse,Nightwish
68: Muse,Michael Jackson
69: Muse,Blur
70: Muse,Avril Lavigne
71: Muse,Snow Patrol
72: Muse,Phoenix
73: Muse,Interpol
74: Muse,Modest Mouse
75: Muse,Bloc Party
76: Muse,Ke$ha
77: Muse,Keane
78: Muse,Kasabian
79: Muse,Weezer
80: Muse,Disturbed
81: Muse,The Who
82: Muse,Papa Roach
83: Muse,Korn
84: Muse,Panic! At the Disco
85: Muse,Regina Spektor
86: Muse,Ramones
87: Muse,Rise Against
88: Muse,3OH!3
89: Muse,Black Sabbath
90: Muse,Black Eyed Peas
91: Muse,Crystal Castles
92: Muse,The xx
93: Muse,Queens of the Stone Age
94: Muse,Breaking Benjamin
95: Muse,Christina Aguilera
96: Muse,Katy Perry
97: Muse,The All-American Rejects
98: Muse,Beyoncé
99: Muse,Pixies
100: Muse,Portishead
101: Muse,Beck
102: Muse,All Time Low
103: Muse,Aerosmith
104: Muse,Massive Attack
105: Muse,Avenged Sevenfold
106: Muse,Megadeth
107: Muse,Alice in Chains
108: Muse,Madonna
109: Muse,The Prodigy
110: Muse,Belle and Sebastian
111: Muse,The Used
112: Muse,Amy Winehouse
113: Muse,Slayer
114: Muse,Cobra Starship
115: Muse,Nickelback
116: Muse,Kanye West
117: Muse,Tegan and Sara
118: Muse,Taylor Swift
119: Muse,Deftones
120: Muse,Opeth
121: Muse,A Perfect Circle
122: Muse,Children of Bodom
123: Muse,Jimi Hendrix
124: Radiohead,The Beatles
125: Radiohead,Coldplay
126: Radiohead,Nirvana
127: Radiohead,Arctic Monkeys
128: Radiohead,Lady Gaga
129: Radiohead,Paramore
130: Radiohead,The Killers
131: Radiohead,Pink Floyd
132: Radiohead,Metallica
133: Radiohead,Oasis
134: Radiohead,Placebo
135: Radiohead,Red Hot Chili Peppers
136: Radiohead,Foo Fighters
137: Radiohead,The Cure
138: Radiohead,Led Zeppelin
139: Radiohead,30 Seconds to Mars
140: Radiohead,System of a Down
141: Radiohead,Kings of Leon
142: Radiohead,Linkin Park
143: Radiohead,Green Day
144: Radiohead,MGMT
145: Radiohead,Death Cab for Cutie
146: Radiohead,Incubus
147: Radiohead,The Strokes
148: Radiohead,The Smiths
149: Radiohead,The Rolling Stones
150: Radiohead,The Kooks
151: Radiohead,Pearl Jam
152: Radiohead,Gorillaz
153: Radiohead,Tool
154: Radiohead,Queen
155: Radiohead,The Smashing Pumpkins
156: Radiohead,Yeah Yeah Yeahs
157: Radiohead,Lily Allen
158: Radiohead,David Bowie
159: Radiohead,Marilyn Manson
160: Radiohead,Vampire Weekend
161: Radiohead,Rammstein
162: Radiohead,Franz Ferdinand
163: Radiohead,U2
164: Radiohead,blink-182
165: Radiohead,Evanescence
166: Radiohead,The Doors
167: Radiohead,Eminem
168: Radiohead,The White Stripes
169: Radiohead,Bob Dylan
170: Radiohead,AC/DC
171: Radiohead,Björk
172: Radiohead,Rihanna
173: Radiohead,Iron Maiden
174: Radiohead,Daft Punk
175: Radiohead,Nine Inch Nails
176: Radiohead,Fall Out Boy
177: Radiohead,Depeche Mode
178: Radiohead,Guns N' Roses
179: Radiohead,Sigur Rós
180: Radiohead,Joy Division
181: Radiohead,Britney Spears
182: Radiohead,My Chemical Romance
183: Radiohead,Slipknot
184: Radiohead,Three Days Grace
185: Radiohead,Florence + the Machine
186: Radiohead,Bullet for My Valentine
187: Radiohead,The Clash
188: Radiohead,The Offspring
189: Radiohead,Nightwish
190: Radiohead,Michael Jackson
191: Radiohead,Blur
192: Radiohead,Avril Lavigne
193: Radiohead,Snow Patrol
194: Radiohead,Phoenix
195: Radiohead,Interpol
196: Radiohead,Modest Mouse
197: Radiohead,Bloc Party
198: Radiohead,Ke$ha
199: Radiohead,Keane
200: Radiohead,Kasabian
201: Radiohead,Weezer
202: Radiohead,Disturbed
203: Radiohead,The Who
204: Radiohead,Papa Roach
205: Radiohead,Korn
206: Radiohead,Panic! At the Disco
207: Radiohead,Regina Spektor
208: Radiohead,Ramones
209: Radiohead,Rise Against
210: Radiohead,3OH!3
211: Radiohead,Black Sabbath
212: Radiohead,Black Eyed Peas
213: Radiohead,Crystal Castles
214: Radiohead,The xx
215: Radiohead,Queens of the Stone Age
216: Radiohead,Breaking Benjamin
217: Radiohead,Christina Aguilera
218: Radiohead,Katy Perry
219: Radiohead,The All-American Rejects
220: Radiohead,Beyoncé
221: Radiohead,Pixies
222: Radiohead,Portishead
223: Radiohead,Beck
224: Radiohead,All Time Low
225: Radiohead,Aerosmith
226: Radiohead,Massive Attack
227: Radiohead,Avenged Sevenfold
228: Radiohead,Megadeth
229: Radiohead,Alice in Chains
230: Radiohead,Madonna
231: Radiohead,The Prodigy
232: Radiohead,Belle and Sebastian
233: Radiohead,The Used
234: Radiohead,Amy Winehouse
235: Radiohead,Slayer
236: Radiohead,Cobra Starship
237: Radiohead,Nickelback
238: Radiohead,Kanye West
239: Radiohead,Tegan and Sara
240: Radiohead,Taylor Swift
241: Radiohead,Deftones
242: Radiohead,Opeth
243: Radiohead,A Perfect Circle
244: Radiohead,Children of Bodom
245: Radiohead,Jimi Hendrix
246: The Beatles,Coldplay
247: The Beatles,Nirvana
248: The Beatles,Arctic Monkeys
249: The Beatles,Lady Gaga
250: The Beatles,Paramore
251: The Beatles,The Killers
252: The Beatles,Pink Floyd
253: The Beatles,Metallica
254: The Beatles,Oasis
255: The Beatles,Placebo
256: The Beatles,Red Hot Chili Peppers
257: The Beatles,Foo Fighters
258: The Beatles,The Cure
259: The Beatles,Led Zeppelin
260: The Beatles,30 Seconds to Mars
261: The Beatles,System of a Down
262: The Beatles,Kings of Leon
263: The Beatles,Linkin Park
264: The Beatles,Green Day
265: The Beatles,MGMT
266: The Beatles,Death Cab for Cutie
267: The Beatles,Incubus
268: The Beatles,The Strokes
269: The Beatles,The Smiths
270: The Beatles,The Rolling Stones
271: The Beatles,The Kooks
272: The Beatles,Pearl Jam
273: The Beatles,Gorillaz
274: The Beatles,Tool
275: The Beatles,Queen
276: The Beatles,The Smashing Pumpkins
277: The Beatles,Yeah Yeah Yeahs
278: The Beatles,Lily Allen
279: The Beatles,David Bowie
280: The Beatles,Marilyn Manson
281: The Beatles,Vampire Weekend
282: The Beatles,Rammstein
283: The Beatles,Franz Ferdinand
284: The Beatles,U2
285: The Beatles,blink-182
286: The Beatles,Evanescence
287: The Beatles,The Doors
288: The Beatles,Eminem
289: The Beatles,The White Stripes
290: The Beatles,Bob Dylan
291: The Beatles,AC/DC
292: The Beatles,Björk
293: The Beatles,Rihanna
294: The Beatles,Iron Maiden
295: The Beatles,Daft Punk
296: The Beatles,Nine Inch Nails
297: The Beatles,Fall Out Boy
298: The Beatles,Depeche Mode
299: The Beatles,Guns N' Roses
300: The Beatles,Sigur Rós
301: The Beatles,Joy Division
302: The Beatles,Britney Spears
303: The Beatles,My Chemical Romance
304: The Beatles,Slipknot
305: The Beatles,Three Days Grace
306: The Beatles,Florence + the Machine
307: The Beatles,Bullet for My Valentine
308: The Beatles,The Clash
309: The Beatles,The Offspring
310: The Beatles,Nightwish
311: The Beatles,Michael Jackson
312: The Beatles,Blur
313: The Beatles,Avril Lavigne
314: The Beatles,Snow Patrol
315: The Beatles,Phoenix
316: The Beatles,Interpol
317: The Beatles,Modest Mouse
318: The Beatles,Bloc Party
319: The Beatles,Ke$ha
320: The Beatles,Keane
321: The Beatles,Kasabian
322: The Beatles,Weezer
323: The Beatles,Disturbed
324: The Beatles,The Who
325: The Beatles,Papa Roach
326: The Beatles,Korn
327: The Beatles,Panic! At the Disco
328: The Beatles,Regina Spektor
329: The Beatles,Ramones
330: The Beatles,Rise Against
331: The Beatles,3OH!3
332: The Beatles,Black Sabbath
333: The Beatles,Black Eyed Peas
334: The Beatles,Crystal Castles
335: The Beatles,The xx
336: The Beatles,Queens of the Stone Age
337: The Beatles,Breaking Benjamin
338: The Beatles,Christina Aguilera
339: The Beatles,Katy Perry
340: The Beatles,The All-American Rejects
341: The Beatles,Beyoncé
342: The Beatles,Pixies
343: The Beatles,Portishead
344: The Beatles,Beck
345: The Beatles,All Time Low
346: The Beatles,Aerosmith
347: The Beatles,Massive Attack
348: The Beatles,Avenged Sevenfold
349: The Beatles,Megadeth
350: The Beatles,Alice in Chains
351: The Beatles,Madonna
352: The Beatles,The Prodigy
353: The Beatles,Belle and Sebastian
354: The Beatles,The Used
355: The Beatles,Amy Winehouse
356: The Beatles,Slayer
357: The Beatles,Cobra Starship
358: The Beatles,Nickelback
359: The Beatles,Kanye West
360: The Beatles,Tegan and Sara
361: The Beatles,Taylor Swift
362: The Beatles,Deftones
363: The Beatles,Opeth
364: The Beatles,A Perfect Circle
365: The Beatles,Children of Bodom
366: The Beatles,Jimi Hendrix
367: Coldplay,Nirvana
368: Coldplay,Arctic Monkeys
369: Coldplay,Lady Gaga
370: Coldplay,Paramore
371: Coldplay,The Killers
372: Coldplay,Pink Floyd
373: Coldplay,Metallica
374: Coldplay,Oasis
375: Coldplay,Placebo
376: Coldplay,Red Hot Chili Peppers
377: Coldplay,Foo Fighters
378: Coldplay,The Cure
379: Coldplay,Led Zeppelin
380: Coldplay,30 Seconds to Mars
381: Coldplay,System of a Down
382: Coldplay,Kings of Leon
383: Coldplay,Linkin Park
384: Coldplay,Green Day
385: Coldplay,MGMT
386: Coldplay,Death Cab for Cutie
387: Coldplay,Incubus
388: Coldplay,The Strokes
389: Coldplay,The Smiths
